6	1	1908	0	0	0	68	42	59
6	2	1908	0	0	0	75	43	65
6	3	1908	0	0	0	83	41	72
6	4	1908	0	0	0	74	46	64
6	5	1908	0	0	0	82	42	66
6	6	1908	0	0	0	77	44	60
6	7	1908	0	0	0	70	40	62
6	8	1908	0	0	0	78	38	75
6	9	1908	0	0	0	80	42	66
6	10	1908	0	0	0	83	43	70
6	11	1908	0	0	0	89	46	83
6	12	1908	0.03	0	0	83	48	66
6	13	1908	0	0	0	73	47	64
6	14	1908	0.02	0	0	80	47	64
6	15	1908	0.8	0	0	72	48	57
6	16	1908	0	0	0	80	46	69
6	17	1908	0	0	0	71	48	58
6	18	1908	0	0	0	72	44	59
6	19	1908	0	0	0	83	36	70
6	20	1908	0	0	0	90	51	76
6	21	1908	0	0	0	93	50	82
6	22	1908	0	0	0	82	52	72
6	23	1908	0	0	0	73	42	66
6	24	1908	0	0	0	83	42	70
6	25	1908	0	0	0	85	46	72
6	26	1908	0	0	0	89	50	78
6	27	1908	0	0	0	84	56	76
6	28	1908	0	0	0	76	46	68
6	29	1908	0	0	0	80	46	76
6	30	1908	0	0	0	82	48	70
7	1	1908	1	0	0	70	46	58
7	2	1908	0	0	0	70	47	63
7	3	1908	0	0	0	84	45	70
7	4	1908	0.03	0	0	93	53	74
7	5	1908	0.3	0	0	88	56	66
7	6	1908	0	0	0	66	46	56
7	7	1908	0	0	0	80	42	71
7	8	1908	0	0	0	88	49	76
7	9	1908	0	0	0	93	53	81
7	10	1908	0.04	0	0	91	53	74
7	11	1908	0	0	0	81	55	73
7	12	1908	0.15	0	0	79	54	64
7	13	1908	0	0	0	81	55	73
7	14	1908	0	0	0	81	54	66
7	15	1908	0	0	0	86	56	72
7	16	1908	0	0	0	89	56	69
7	17	1908	0	0	0	81	51	74
7	18	1908	0	0	0	88	43	69
7	19	1908	0	0	0	87	52	72
7	20	1908	0	0	0	88	50	78
7	21	1908	0	0	0	85	52	72
7	22	1908	0	0	0	85	50	71
7	23	1908	0.2	0	0	84	52	66
7	24	1908	0	0	0	88	54	73
7	25	1908	0	0	0	91	52	71
7	26	1908	0	0	0	93	54	73
7	27	1908	0	0	0	89	55	74
7	28	1908	0	0	0	92	55	71
7	29	1908	3.25	0	0	90	57	72
7	30	1908	0	0	0	80	48	71
7	31	1908	0.02	0	0	80	60	71
8	1	1908	0	0	0	88	55	71
8	2	1908	0	0	0	91	57	71
8	3	1908	0	0	0	93	56	74
8	4	1908	0	0	0	89	55	77
8	5	1908	0	0	0	92	59	76
8	6	1908	0.88	0	0	83	59	63
8	7	1908	0	0	0	72	54	67
8	8	1908	0	0	0	88	50	80
8	9	1908	0	0	0	90	56	74
8	10	1908	0.07	0	0	80	57	62
8	11	1908	0	0	0	68	57	58
8	12	1908	0	0	0	81	49	68
8	13	1908	0.72	0	0	80	48	70
8	14	1908	0.12	0	0	82	52	67
8	15	1908	0	0	0	80	52	72
8	16	1908	0	0	0	76	51	63
8	17	1908	0	0	0	74	56	64
8	18	1908	1.38	0	0	77	51	63
8	19	1908	0.74	0	0	64	52	56
8	20	1908	0	0	0	71	46	60
8	21	1908	0	0	0	76	48	58
8	22	1908	0	0	0	69	52	64
8	23	1908	0.2	0	0	78	49	68
8	24	1908	0	0	0	85	42	70
8	25	1908	0	0	0	88	52	69
8	26	1908	0	0	0	80	58	62
8	27	1908	0	0	0	78	52	66
8	28	1908	0	0	0	87	53	73
8	29	1908	0	0	0	88	62	71
8	30	1908	0	0	0	91	57	80
8	31	1908	0	0	0	80	44	65
9	1	1908	0	0	0	77	41	67
9	2	1908	0	0	0	84	48	77
9	3	1908	0	0	0	83	60	69
9	4	1908	0	0	0	87	49	73
9	5	1908	0	0	0	89	49	79
9	6	1908	0	0	0	91	46	81
9	7	1908	0	0	0	92	54	72
9	8	1908	0	0	0	88	55	74
9	9	1908	0.23	0	0	76	51	58
9	10	1908	0	0	0	86	46	70
9	11	1908	0	0	0	88	42	70
9	12	1908	0	0	0	78	51	71
9	13	1908	0	0	0	83	51	69
9	14	1908	0.22	0	0	81	45	62
9	15	1908	0	0	0	80	48	70
9	16	1908	0	0	0	85	46	66
9	17	1908	0	0	0	87	47	73
9	18	1908	0	0	0	86	42	68
9	19	1908	0	0	0	86	48	69
9	20	1908	0	0	0	83	44	68
9	21	1908	0	0	0	81	48	68
9	22	1908	0	0	0	86	43	70
9	23	1908	0	0	0	84	42	70
9	24	1908	0	0	0	84	44	70
9	25	1908	0	0	0	78	42	56
9	26	1908	0	3.3	3	56	31	32
9	27	1908	2.16	0	0	49	13	45
9	28	1908	0	0	0	63	30	53
9	29	1908	0	0	0	74	37	64
9	30	1908	0	0	0	72	38	58
10	1	1908	0	0	0	80	36	65
10	2	1908	0	0	0	78	48	62
10	3	1908	0.17	0	0	72	38	59
10	4	1908	0	0	0	70	36	59
10	5	1908	0	0	0	64	34	52
10	6	1908	0	0	0	65	37	55
10	7	1908	0	0	0	68	31	59
10	8	1908	0	0	0	74	28	62
10	9	1908	0	0	0	76	34	59
10	10	1908	0	0	0	75	36	60
10	11	1908	0	0	0	78	31	58
10	12	1908	0	0	0	77	37	65
10	13	1908	0	0	0	79	42	65
10	14	1908	0	0	0	80	40	65
10	15	1908	0	0	0	81	40	68
10	16	1908	0	0	0	68	36	54
10	17	1908	0.48	0	0	54	34	35
10	18	1908	0.43	4.3	4	35	31	32
10	19	1908	0.99	0	0	40	29	38
10	20	1908	0	0	0	49	29	36
10	21	1908	0	0	0	45	22	38
10	22	1908	0.06	0	0	39	26	31
